Población,Precipitación,"Edad infra","Índice ingreso","Falla infra","Presión mediática","Falta infra","Escasez",Hundimiento,"Enfermedades gastro","Sin drenaje","Sin agua",Encharcamientos,id
9076,1082,10,0.617670111,0.0625,0.125,0.125,0.0625,0,7.95912,2.1107,2.2514,0.015195937,6246
1143,1081,10,0.529556093,0.0625,0.0625,0.0625,0.0625,0,0.96312,1.487,14.4981,0,6248
12818,1097,10,0.517013558,0.0625,0.0625,0.25,0.0625,0,11.14978,1.9466,3.7196,0.1097364287,6247
4730,735,50,0.558454783,0.25,0.0625,0.0625,0.0625,1,1.30433,0,0,2.3806552866,6256
4751,736,50,0.740086881,0.25,0.0625,0.0625,0.0625,1,0.6959,0,0,0.8470457182,6498
3952,735,50,0.66098716,0.25,0.125,0.0625,0.0625,1,0.57537,0,0,2.0931376072,6499
4016,735,50,0.75660323,0.25,0.0625,0.0625,0.0625,1,1.44391,0,0,0.419753374,6497
27,755,50,0.177827941,0.5,0.0625,0.0625,0.0625,1,0.01445,0,0,2.0682789189,6392
4976,738,50,0.763991156,0.5,0.0625,0.0625,0.0625,0,0.73684,0.2147,0.5735,0.2846538114,6502
5206,739,50,0.522049202,0.0625,0.0625,0.0625,0.0625,1,1.37051,0,0.6944,0.4441816066,6477
4752,735,50,0.575181757,0.25,0.0625,0.0625,0.0625,1,0.45314,0,0,1.8408379269,6255
4511,733,50,0.52836675,0.25,0.0625,0.0625,0.0625,1,0.42395,0,0,4.36953935,6537
4488,738,50,0.535791843,0.25,0.0625,0.0625,0.0625,1,1.16527,0,0,0.225356652,6511
4353,735,50,0.487422934,0.0625,0.0625,0.0625,0.0625,1,1.06161,0.3568,0,0.3781468241,6542
4312,725,50,0.533311457,0.25,0.0625,0.0625,0.0625,1,1.08484,0,0,1.0490500458,6249
6925,725,50,0.57580275,0.25,0.125,0.0625,0.0625,1,1.71156,0,0,0.6379559563,6479
7046,727,50,0.57586896,0.25,0.125,0.0625,0.0625,1,1.73992,0,0,0.0486690155,6480
4079,729,50,0.577818732,0.5,0.0625,0.0625,0.0625,1,1.03009,0.293,0.4869,0.5392920164,6493
5028,733,50,0.458484929,0.25,0.0625,0.0625,0.0625,0,1.25986,0,0,0.1763672129,6495
6504,732,50,0.616185196,0.5,0.25,0.0625,0.0625,1,1.27364,0,0.2363,1.7621444743,6262
3090,733,50,0.688058426,0.25,0.0625,0.0625,0.0625,1,1.07342,0,0,17.8243810534,6263
2688,740,50,0.503774213,0.25,0.0625,0.0625,0.0625,0,0.37875,1.0204,0.8721,0.5,6501
2896,734,50,0.785559376,0.5,0.0625,0.0625,0.0625,1,1.45819,0,0,0.9587235879,6489
2384,743,50,0.788506471,0.5,0.0625,0.0625,0.0625,1,1.097,0,0,1.8194795687,6462
3932,752,50,0.685421797,1,0.125,0.0625,0.0625,1,1.89995,0,0,1.0310882809,6436
4439,752,50,0.631986104,1,0.0625,0.0625,0.0625,1,0.61963,0,0,1.0386291112,6435
2940,749,50,0.731718492,0.5,0.0625,0.0625,0.0625,1,0.41722,0,0,1.3263626238,6452
7008,753,50,0.683415847,0.5,0.125,0.0625,0.0625,1,3.6158,0,0,2.4581743117,6424
3397,753,50,0.611165888,0.5,0.125,0.0625,0.0625,1,5.66812,0,0,6.65609583,6350
3081,747,50,0.805813015,1,0.125,0.0625,0.0625,1,0.63249,0,0,4.6838963529,6386
4341,747,50,0.772806546,1,0.0625,0.0625,0.0625,1,0.89357,0,0,12.2872239273,6385
3170,743,50,0.867907053,1,0.125,0.0625,0.0625,1,0.29392,0,0,7.0380137127,6304
841,740,50,0.756829833,0.5,0.0625,0.0625,0.0625,0,0.0801,0,0,2.7143086211,6297
1848,743,50,0.85008523,1,0.125,0.0625,0.0625,0,0.19186,0,0,5.5632345336,6325
2629,743,50,0.8069904,0.5,0.0625,0.0625,0.0625,0,0.25772,0,0.4286,5.5716495593,6324
1676,741,50,0.787143306,0.5,0.125,0.0625,0.0625,0,1.45317,0,0,0.83608993,6295
4622,743,50,0.688882235,0.25,0.0625,0.0625,0.0625,0,3.87676,0,0.8382,1.7439449617,6294
