name,resili_a,resili_b,resili_c,resili_d,resili_e,suscep_a,suscep_b,suscep_c,suscep_d,suscep_e,exposi,resili,suscep,vulnera,exposi_a,exposi_b,exposi_c,exposi_d,id
SAN JERONIMO ACULCO,0.044211416265302,0.388007334961916,0.85609,0.092099648891876,0.56436919446947,0.9045,0.0,0.0,0.022509371319974,0.0777,0.365,0.453,0.201,0.318,0.388,0.0,0.922,0.094,1
JARDINES DEL PEDREGAL,0.044211416265302,0.388007334961916,0.85609,0.092099648891876,0.56436919446947,0.9045,0.0,0.0,0.022509371319974,0.0777,0.443,0.453,0.201,0.378,0.388,0.0,0.922,0.396,2
SAN JERONIMO LIDICE,0.044211416265302,0.388007334961916,0.85609,0.092099648891876,0.56436919446947,0.9045,0.0,0.0,0.022509371319974,0.0777,0.423,0.453,0.201,0.362,0.388,0.0,0.922,0.317,3
BARROS SIERRA,0.030521284361378,0.428338819154503,0.74323,0.092099648891876,0.569496578356928,0.857,0.772945391498271,0.0,0.0,0.0299,0.316,0.446,0.332,0.416,0.428,0.0,0.016,0.773,4
LAS PALMAS,0.030521284361378,0.428338819154503,0.74323,0.092099648891876,0.569496578356928,0.857,0.772945391498271,0.0,0.0,0.0299,0.316,0.446,0.332,0.416,0.428,0.0,0.016,0.773,5
LOMAS QUEBRADAS,0.030521284361378,0.428338819154503,0.74323,0.092099648891876,0.569496578356928,0.857,0.772945391498271,0.0,0.0,0.0299,0.316,0.446,0.332,0.416,0.428,0.0,0.016,0.773,6
LOS PADRES,0.030521284361378,0.428338819154503,0.74323,0.092099648891876,0.569496578356928,0.857,0.772945391498271,0.0,0.0,0.0299,0.316,0.446,0.332,0.416,0.428,0.0,0.016,0.773,7
CUAUHTEMOC,0.030521284361378,0.428338819154503,0.74323,0.092099648891876,0.569496578356928,0.857,0.772945391498271,0.0,0.0,0.0299,0.316,0.446,0.332,0.416,0.428,0.0,0.016,0.773,8
SAN FRANCISCO,0.056719387073838,0.423702957660233,0.78233,0.092099648891876,0.569495973623624,0.857,0.126853478329252,0.0,0.002600806807051,0.064,0.147,0.455,0.21,0.156,0.424,0.0,0.016,0.127,9
EL ROSAL,0.024962986080609,0.39204607659701,0.74804,0.092099648891876,0.569496578356928,0.857,1.000000000000004,0.0,0.0,0.054,0.367,0.432,0.382,0.52,0.392,0.0,0.016,1.0,10
EL TORO,0.043179788483277,0.400787611113221,0.76789,0.092099648891876,0.569496578356928,0.857,0.912179553398442,0.0,0.003289304930804,0.062,0.346,0.441,0.367,0.48,0.401,0.0,0.016,0.912,11
PUEBLO NUEVO BAJO,0.043179788483277,0.400787611113221,0.76789,0.092099648891876,0.569496578356928,0.857,0.912179553398442,0.0,0.003289304930804,0.062,0.346,0.441,0.367,0.48,0.401,0.0,0.016,0.912,12
LA CRUZ,0.046160370830607,0.391023455015714,0.84836,0.092099648891876,0.569496578356928,0.857,0.999999999999968,0.0,9.388036291e-06,0.0906,0.602,0.454,0.39,0.686,0.391,0.0,0.922,1.0,13
BARRIO BARRANCA SECA,0.046160370830607,0.391023455015714,0.84836,0.092099648891876,0.569496578356928,0.857,0.999999999999968,0.0,9.388036291e-06,0.0906,0.602,0.454,0.39,0.686,0.391,0.0,0.922,1.0,14
HEROES DE PADIERNA,0.059356548129813,0.389999519112728,0.79854,0.092099648891876,0.569496578356928,0.857,0.575175675490778,0.0,0.010461370766555,0.0612,0.255,0.445,0.301,0.34,0.39,0.0,0.016,0.575,15
FUENTES DEL PEDREGAL,0.05654439271317,0.365455040634547,0.83916,0.092099648891876,0.569496578356928,0.90067,0.001318326773097,0.0,0.019473477515342,0.1251,0.335,0.443,0.209,0.312,0.365,0.0,0.922,0.001,16
RESIDENCIAL SANTA TERESA,0.05654439271317,0.365455040634547,0.83916,0.092099648891876,0.569496578356928,0.90067,0.001318326773097,0.0,0.019473477515342,0.1251,0.335,0.443,0.209,0.312,0.365,0.0,0.922,0.001,17
SANTA TERESA,0.05654439271317,0.365455040634547,0.83916,0.092099648891876,0.569496578356928,0.90067,0.001318326773097,0.0,0.019473477515342,0.1251,0.335,0.443,0.209,0.312,0.365,0.0,0.922,0.001,18
PEDREGAL DEL LAGO,0.05654439271317,0.365455040634547,0.83916,0.092099648891876,0.569496578356928,0.90067,0.001318326773097,0.0,0.019473477515342,0.1251,0.335,0.443,0.209,0.312,0.365,0.0,0.922,0.001,19
POTRERILLO,0.014296357978543,0.374232790522618,0.71421,0.092099648891876,0.569496578356928,0.857,0.999999999999993,0.0,0.000573500616805,0.0314,0.361,0.417,0.378,0.528,0.374,0.0,0.016,1.0,20
PUEBLO NUEVO ALTO,0.014296357978543,0.374232790522618,0.71421,0.092099648891876,0.569496578356928,0.857,0.999999999999993,0.0,0.000573500616805,0.0314,0.361,0.417,0.378,0.528,0.374,0.0,0.016,1.0,21
PUEBLO LA MAGDALENA CONTRERAS,0.067583085851221,0.377737219664261,0.80204,0.092099648891876,0.569496578356928,0.857,0.982474322597578,0.0,0.01490864011907,0.0816,0.358,0.441,0.387,0.51,0.378,0.0,0.016,0.982,22
LA CARBONERA,0.067583085851221,0.377737219664261,0.80204,0.092099648891876,0.569496578356928,0.857,0.982474322597578,0.0,0.01490864011907,0.0816,0.358,0.441,0.387,0.51,0.378,0.0,0.016,0.982,23
LA CONCEPCION,0.05133727559574,0.362121427267096,0.80201,0.092099648891876,0.569496578356928,0.857,0.218117596367102,0.0,0.000106354867827,0.0889,0.39,0.433,0.233,0.388,0.362,0.0,0.922,0.218,24
PUEBLO SAN NICOLAS TOTOLAPAN,0.05133727559574,0.362121427267096,0.80201,0.092099648891876,0.569496578356928,0.857,0.218117596367102,0.0,0.000106354867827,0.0889,0.39,0.433,0.233,0.388,0.362,0.0,0.922,0.218,25
GUADALUPE,0.037458927949929,0.369413012911121,0.78978,0.092099648891876,0.569496578356928,0.857,1.000000000000029,0.0,5.226348451e-05,0.0749,0.595,0.433,0.386,0.7,0.369,0.0,0.922,1.0,26
PEDREGAL 2,0.020878457008174,0.362574513383698,0.7603,0.092099648891876,0.569496578356928,0.875,0.964118396906589,0.0,0.000965881885109,0.0691,0.585,0.422,0.382,0.698,0.363,0.0,0.922,0.964,27
BARRIO PLAZUELA DEL PEDREGAL,0.020878457008174,0.362574513383698,0.7603,0.092099648891876,0.569496578356928,0.875,0.964118396906589,0.0,0.000965881885109,0.0691,0.585,0.422,0.382,0.698,0.363,0.0,0.922,0.964,28
PEDREGAL DE SAN NICOLAS 1A SECCION,0.119353132104147,0.328353755154533,0.75355,0.092099648891876,0.569496578356928,0.875,0.753711452496367,0.0,0.009400863321953,0.0798,0.521,0.417,0.344,0.616,0.328,0.0,0.922,0.754,29
LAS HUERTAS,0.119353132104147,0.328353755154533,0.75355,0.092099648891876,0.569496578356928,0.875,0.753711452496367,0.0,0.009400863321953,0.0798,0.521,0.417,0.344,0.616,0.328,0.0,0.922,0.754,30
LAS CALLES,0.059027768807889,0.344919896860352,0.76615,0.092099648891876,0.569496578356928,0.875,0.972902659303127,0.338,0.013422205419836,0.0764,0.582,0.42,0.455,0.772,0.345,0.0,0.922,0.973,31
LOMAS DE SAN BERNABE,0.071362539171836,0.427558026221818,0.65376,0.092099648891876,0.580558271271271,0.9045,1.000000000000004,0.0,4.7781693391e-05,0.0713,0.376,0.434,0.395,0.538,0.428,0.0,0.016,1.0,32
VISTA HERMOSA,0.071362539171836,0.427558026221818,0.65376,0.092099648891876,0.580558271271271,0.9045,1.000000000000004,0.0,4.7781693391e-05,0.0713,0.376,0.434,0.395,0.538,0.428,0.0,0.016,1.0,33
LOMAS DE LOS CEDROS,0.071362539171836,0.427558026221818,0.65376,0.092099648891876,0.580558271271271,0.9045,1.000000000000004,0.0,4.7781693391e-05,0.0713,0.376,0.434,0.395,0.538,0.428,0.0,0.016,1.0,34
LOMAS DE LA HERA,0.071362539171836,0.427558026221818,0.65376,0.092099648891876,0.580558271271271,0.9045,1.000000000000004,0.0,4.7781693391e-05,0.0713,0.376,0.434,0.395,0.538,0.428,0.0,0.016,1.0,35
PUEBLO SAN BERNABE OCOTEPEC,0.071362539171836,0.427558026221818,0.65376,0.092099648891876,0.580558271271271,0.9045,1.000000000000004,0.0,4.7781693391e-05,0.0713,0.376,0.434,0.395,0.538,0.428,0.0,0.016,1.0,36
LAS CRUCES,0.071362539171836,0.427558026221818,0.65376,0.092099648891876,0.580558271271271,0.9045,1.000000000000004,0.0,4.7781693391e-05,0.0713,0.376,0.434,0.395,0.538,0.428,0.0,0.016,1.0,37
HUAYATLA,0.071362539171836,0.427558026221818,0.65376,0.092099648891876,0.580558271271271,0.9045,1.000000000000004,0.0,4.7781693391e-05,0.0713,0.376,0.434,0.395,0.538,0.428,0.0,0.016,1.0,38
RINCON DE TLACUILOTITLA,0.065050140720012,0.353591420960123,0.71357,0.092099648891876,0.575418541784642,0.857,0.99697344165284,0.0,0.0,0.0555,0.355,0.415,0.382,0.528,0.354,0.0,0.016,0.997,39
OCOTAL,0.065050140720012,0.353591420960123,0.71357,0.092099648891876,0.575418541784642,0.857,0.99697344165284,0.0,0.0,0.0555,0.355,0.415,0.382,0.528,0.354,0.0,0.016,0.997,40
HUEYOTLA,0.065050140720012,0.353591420960123,0.71357,0.092099648891876,0.575418541784642,0.857,0.99697344165284,0.0,0.0,0.0555,0.355,0.415,0.382,0.528,0.354,0.0,0.016,0.997,41
EL ERMITAÑO,0.065050140720012,0.353591420960123,0.71357,0.092099648891876,0.575418541784642,0.857,0.99697344165284,0.0,0.0,0.0555,0.355,0.415,0.382,0.528,0.354,0.0,0.016,0.997,42
PARAJE DEL CABALLITO,0.054583234375172,0.341646071851866,0.65787,0.092099648891876,0.60366139504147,0.9045,0.999999999999999,0.0,4.082208618e-06,0.0707,0.354,0.404,0.395,0.552,0.342,0.0,0.016,1.0,43
PEDREGAL DE SAN NICOLAS 2DA SECC,0.123509929140227,0.304895037138011,0.64303,0.092099648891876,0.569496578356928,0.875,0.999952704622717,0.0,0.008022211726687,0.1952,0.579,0.386,0.416,0.764,0.305,0.0,0.922,1.0,44
PEDREGAL DE SAN NICOLAS 3RA SECC,0.123509929140227,0.304895037138011,0.64303,0.092099648891876,0.569496578356928,0.875,0.999952704622717,0.0,0.008022211726687,0.1952,0.579,0.386,0.416,0.764,0.305,0.0,0.922,1.0,45
BOSQUES DEL PEDREGAL,0.091545508862595,0.215823766619453,0.52149,0.593687576235249,0.569496578356928,0.875,0.867520433229338,0.0,0.0,0.8994,0.521,0.373,0.528,0.844,0.216,0.0,0.922,0.868,46
EL ZACATON,0.091545508862595,0.215823766619453,0.52149,0.593687576235249,0.569496578356928,0.875,0.867520433229338,0.0,0.0,0.8994,0.521,0.373,0.528,0.844,0.216,0.0,0.922,0.868,47
