grupos2,grupos,sin_agua,capacidad,densidad,grado_con,frecuencia,volumen,frec_cat,prec_cat,vol_cat,is50,precip,id
15,5,137,3081326.14,18.745,5,70,107.0416,4,3,4,0.06196,682.2857,1
15,5,104,12028424.0,62.671,5,70,107.0416,4,3,4,0.06196,678.8375,2
15,5,191,6666663.297,36.951,4,70,107.0416,4,3,4,0.06196,687.4464,3
15,5,235,9003112.0,41.84,11,70,107.0416,4,3,4,0.06196,682.7292,4
15,5,64,7471402.87,41.911,2,70,107.0416,4,3,4,0.06196,690.05,5
15,5,220,2841240.0,20.92,2,70,107.0416,4,3,4,0.06196,686.9625,6
7,3,264,35295093.0,47.053,2,14,19.9339,2,3,2,0.01164,660.1087,7
7,3,156,1960530.0,6.405,0,14,19.9339,2,3,2,0.01164,666.8864,8
3,2,264,5274556.0,9.265,2,1,0.0125,1,3,1,0.0,705.8456,9
7,3,42,14283149.0,81.916,2,10,43.6063,2,3,3,0.01161,693.5833,10
7,3,101,5519710.0,48.643,0,7,4.5821,2,3,1,0.00482,699.8393,11
7,3,134,20420068.8,45.312,2,8,41.2594,2,3,3,0.0099,688.7159,12
3,2,251,27208586.0,61.243,2,2,0.0125,1,3,1,0.00071,687.9545,13
7,3,180,59058561.0,184.48,0,6,37.0875,2,3,3,0.00798,666.5588,14
3,2,160,6334423.0,11.243,7,3,0.0125,1,3,1,0.00143,719.1655,15
7,3,126,1184334.45,4.463,0,8,6.5719,2,3,1,0.00577,715.8563,16
7,3,295,33785450.0,189.664,3,5,5.4075,2,3,1,0.0035,699.4722,17
7,3,182,40061140.0,148.65,8,8,3.0266,2,3,1,0.00535,704.6875,18
3,2,91,20543827.9,76.342,6,2,0.0125,1,3,1,0.00071,693.1016,19
3,2,173,18866845.6,68.667,5,3,1.3417,1,3,1,0.00158,700.3125,20
3,2,163,40823000.0,185.361,5,1,24.0,1,3,3,0.00286,688.1429,21
3,2,162,9277380.801,26.559,5,2,12.0063,1,3,2,0.00214,688.645,22
3,2,242,9389868.0,39.376,3,4,44.5063,1,3,3,0.00744,677.8958,23
7,3,19,32157175.4,81.924,7,6,5.3417,2,3,1,0.0042,668.51,24
3,2,271,89720672.0,263.967,7,2,180.0063,1,3,4,0.02214,676.9375,25
3,2,83,178233589.4,129.003,16,1,160.0,1,3,4,0.01905,667.0181,26
3,2,203,37167654.0,162.935,0,2,0.0125,1,3,1,0.00071,657.0446,27
7,3,269,10538920.0,60.502,1,16,11.1641,2,3,2,0.01203,645.6875,28
7,3,120,25109700.0,130.627,0,16,11.1641,2,3,2,0.01203,651.2734,29
4,3,74,11313176.17,48.775,0,1,0.0125,1,4,1,0.0,725.5074,30
3,2,140,42485333.0,135.747,7,2,12.0063,1,3,2,0.00214,697.2961,31
