Frecsuma,VolMax,Volprom,Impercepti,Insuficien,Obstrucci,Hundimient,Falta de i,Falta Bomb,Ruptura,id
48,2160.0,141.4320313,15,30,3,0,0,0,0,1
6,15.0,2.510416667,5,1,0,0,0,0,0,2
64,600.0,133.1283203,17,43,4,0,0,0,0,3
2,0.0125,0.0125,2,0,0,0,0,0,0,4
1,192.0,192.0,0,0,0,0,0,1,0,5
39,720.0,106.7102564,16,16,7,0,0,0,0,6
2,0.0125,0.0125,2,0,0,0,0,0,0,7
14,648.0,59.22142857,8,4,2,0,0,0,0,8
2,90.0,45.00625,1,1,0,0,0,0,0,9
33,500.0,44.0969697,16,10,5,1,0,1,0,10
3,56.0,22.67083333,1,1,1,0,0,0,0,11
17,600.0,38.61102941,11,4,2,0,0,0,0,12
7,18.0,4.935714286,4,1,2,0,0,0,0,13
35,1200.0,78.50678571,19,12,4,0,0,0,0,14
45,4000.0,312.4627778,10,24,10,0,1,0,0,15
7,320.0,53.43571429,4,3,0,0,0,0,0,16
15,240.0,59.405,6,8,1,0,0,0,0,17
30,1080.0,103.8079167,19,10,1,0,0,0,0,18
14,9.0,1.795535714,11,2,1,0,0,0,0,19
44,240.0,14.23778409,37,6,1,0,0,0,0,20
2,0.0125,0.0125,2,0,0,0,0,0,0,21
6,7.2,1.210416667,5,0,1,0,0,0,0,22
35,150.0,47.32607143,9,22,4,0,0,0,0,23
29,2850.0,105.1137931,21,7,1,0,0,0,0,24
45,171.0,43.65616667,15,24,5,1,0,0,0,25
44,2520.0,149.2460227,27,13,3,1,0,0,0,26
31,525.0,28.10604839,23,7,1,0,0,0,0,27
62,600.0,66.73245968,34,25,3,0,0,0,0,28
42,900.0,85.03154762,26,9,6,0,1,0,0,29
17,200.0,31.12279412,7,7,3,0,0,0,0,30
6,100.0,16.67708333,5,1,0,0,0,0,0,31
19,480.0,55.08421053,8,8,2,0,1,0,0,32
30,180.0,17.01458333,19,6,5,0,0,0,0,33
9,80.0,10.00972222,6,1,2,0,0,0,0,34
13,13.5,1.741346154,11,2,0,0,0,0,0,35
7,48.0,6.867857143,6,1,0,0,0,0,0,36
7,12.0,1.725,6,1,0,0,0,0,0,37
8,126.0,27.0078125,5,1,2,0,0,0,0,38
30,300.0,32.22041667,13,5,9,1,0,2,0,39
17,144.0,22.59779412,13,3,1,0,0,0,0,40
2,48.0,26.7,0,1,0,0,1,0,0,41
15,320.0,50.60583333,7,6,2,0,0,0,0,42
3,12.0,4.008333333,2,1,0,0,0,0,0,43
20,210.0,24.113125,13,4,0,1,0,2,0,44
1,0.0125,0.0125,1,0,0,0,0,0,0,45
39,180.0,21.23237179,21,7,11,0,0,0,0,46
9,40.0,6.6625,5,2,2,0,0,0,0,47
12,270.0,33.68229167,7,3,2,0,0,0,0,48
7,36.0,5.153571429,6,1,0,0,0,0,0,49
21,192.0,38.50595238,10,10,1,0,0,0,0,50
1,0.0125,0.0125,1,0,0,0,0,0,0,51
4,200.0,74.378125,1,2,1,0,0,0,0,52
1,0.0125,0.0125,1,0,0,0,0,0,0,53
12,300.0,43.34166667,8,4,0,0,0,0,0,54
12,1000.0,166.4208333,4,7,1,0,0,0,0,55
3,32.0,20.67083333,1,1,1,0,0,0,0,56
1,0.0125,0.0125,1,0,0,0,0,0,0,57
55,3840.0,189.9434091,15,35,4,1,0,0,0,58
47,500.0,50.20319149,20,21,5,1,0,0,0,59
30,160.0,16.46541667,17,8,4,1,0,0,0,60
2,0.0125,0.0125,2,0,0,0,0,0,0,61
8,0.0125,0.0125,8,0,0,0,0,0,0,62
74,2400.0,274.0111486,25,46,3,0,0,0,0,63
30,900.0,92.9725,14,15,1,0,0,0,0,64
1,18.0,18.0,0,1,0,0,0,0,0,65
5,18.0,6.905,2,1,2,0,0,0,0,66
4,750.0,188.25625,2,1,1,0,0,0,0,67
12,16.0,2.592708333,9,1,2,0,0,0,0,68
3,9.0,6.004166667,1,0,2,0,0,0,0,69
1,7.5,7.5,0,0,1,0,0,0,0,70
46,480.0,30.26929348,19,12,13,2,0,0,0,71
3,0.0125,0.0125,3,0,0,0,0,0,0,72
9,16.0,3.286111111,6,0,3,0,0,0,0,73
53,90.0,8.835141509,28,8,17,0,0,0,0,74
119,1600.0,29.55997899,71,22,21,2,2,0,1,75
24,120.0,26.29791667,12,6,4,2,0,0,0,76
6,12.0,2.258333333,4,2,0,0,0,0,0,77
3,4.0,1.341666667,2,0,1,0,0,0,0,78
6,1080.0,449.00625,3,3,0,0,0,0,0,79
280,1400.0,83.89965179,116,122,38,2,1,1,0,80
17,27.0,6.182352941,8,2,7,0,0,0,0,81
1,9.0,9.0,0,0,1,0,0,0,0,82
80,120.0,7.0015625,54,12,13,1,0,0,0,83
9,960.0,268.6680556,1,8,0,0,0,0,0,84
2,40.5,20.25625,1,1,0,0,0,0,0,85
7,240.0,48.00892857,5,2,0,0,0,0,0,86
25,240.0,17.386,20,2,3,0,0,0,0,87
25,675.0,40.736,16,8,0,1,0,0,0,88
2,320.0,175.0,0,1,1,0,0,0,0,89
41,870.0,59.79664634,21,14,6,0,0,0,0,90
292,2000.0,138.4270976,96,183,13,0,0,0,0,91
1,1.0,1.0,0,0,1,0,0,0,0,92
1,0.0125,0.0125,1,0,0,0,0,0,0,93
1,1312.5,1312.5,0,1,0,0,0,0,0,94
5,18.0,3.8075,3,0,2,0,0,0,0,95
8,27.0,3.3859375,7,1,0,0,0,0,0,96
8,30.0,4.1328125,5,3,0,0,0,0,0,97
1,60.0,60.0,0,1,0,0,0,0,0,98
8,48.0,6.509375,6,1,1,0,0,0,0,99
3,45.0,24.00416667,1,2,0,0,0,0,0,100
1,90.0,90.0,0,1,0,0,0,0,0,101
105,224.0,11.11916667,63,12,30,0,0,0,0,102
1,0.0125,0.0125,1,0,0,0,0,0,0,103
1,0.0125,0.0125,1,0,0,0,0,0,0,104
13,600.0,69.08269231,6,4,3,0,0,0,0,105
187,2160.0,84.08957219,59,107,18,1,0,2,0,106
55,1980.0,91.37272727,22,18,14,1,0,0,0,107
1,48.0,48.0,0,0,1,0,0,0,0,108
37,480.0,79.70641892,11,24,2,0,0,0,0,109
5,216.0,62.4075,3,1,0,0,0,1,0,110
1,0.0125,0.0125,1,0,0,0,0,0,0,111
1,0.0125,0.0125,1,0,0,0,0,0,0,112
6,450.0,108.8395833,3,3,0,0,0,0,0,113
34,105.0,9.701838235,17,7,10,0,0,0,0,114
2,0.0125,0.0125,2,0,0,0,0,0,0,115
19,640.0,124.1098684,7,9,3,0,0,0,0,116
1,128.0,128.0,0,1,0,0,0,0,0,117
18,420.0,93.06111111,8,8,2,0,0,0,0,118
74,210.0,22.11469595,37,19,16,1,1,0,0,119
44,126.0,11.27744318,26,4,14,0,0,0,0,120
94,2700.0,104.7675532,51,33,8,0,2,0,0,121
6,6.0,1.010416667,5,1,0,0,0,0,0,122
10,320.0,45.0075,6,2,2,0,0,0,0,123
11,112.0,25.22272727,4,4,3,0,0,0,0,124
23,450.0,85.29293478,11,6,6,0,0,0,0,125
5,12.0,4.8075,3,2,0,0,0,0,0,126
1,250.0,250.0,0,0,1,0,0,0,0,127
43,2880.0,128.1127907,24,13,6,0,0,0,0,128
1,0.6,0.6,0,0,1,0,0,0,0,129
1,0.0125,0.0125,1,0,0,0,0,0,0,130
19,90.0,9.430263158,14,3,2,0,0,0,0,131
6,0.0125,0.0125,6,0,0,0,0,0,0,132
2,8.0,4.00625,1,1,0,0,0,0,0,133
38,216.0,18.55460526,21,8,9,0,0,0,0,134
29,800.0,114.1590517,9,12,6,1,0,1,0,135
40,240.0,19.4925,16,6,15,2,1,0,0,136
1,0.0125,0.0125,1,0,0,0,0,0,0,137
4,4.0,1.40625,2,1,0,1,0,0,0,138
8,36.0,9.00625,5,2,1,0,0,0,0,139
77,8000.0,141.4426948,44,27,6,0,0,0,0,140
7,0.0125,0.0125,7,0,0,0,0,0,0,141
1,0.0125,0.0125,1,0,0,0,0,0,0,142
21,432.0,138.8607143,6,14,0,0,1,0,0,143
9,576.0,186.2277778,4,5,0,0,0,0,0,144
7,192.0,50.29107143,3,4,0,0,0,0,0,145
66,1200.0,279.4617424,14,50,2,0,0,0,0,146
1,0.0125,0.0125,1,0,0,0,0,0,0,147
2,0.0125,0.0125,2,0,0,0,0,0,0,148
3,0.0125,0.0125,3,0,0,0,0,0,0,149
1,0.0125,0.0125,1,0,0,0,0,0,0,150
