Grupo,Cat_Ench,Cat_Precip,Frecuencia,Volumen,Precipitac,Ingreso,Rezago,Población,Capacidad,Densidad,Conectivid,Severida50,Severida90,Severida75,id
15,4,3,70,107.04161,682.28571,0.75,3,3424,3081326.14,18.74516,5.0,0.06196,0.03278,0.04372,1
15,4,3,145,16.97416,701.15,0.7,3,4964,3016569.0,13.3389,3.0,0.10473,0.02418,0.05438,2
15,4,3,70,107.04161,678.8375,0.66,3,5912,12028424.0,62.67054,5.0,0.06196,0.03278,0.04372,3
15,4,3,171,12.1326,690.45588,0.63,3,8895,144661390.0,434.34709,3.0,0.1227,0.02685,0.06279,4
15,4,3,70,107.04161,687.44643,0.68,3,4638,6666663.29,36.95123,4.0,0.06196,0.03278,0.04372,5
15,4,3,171,12.1326,686.21429,0.61,3,1429,,,,0.1227,0.02685,0.06279,6
15,4,3,70,107.04161,682.72917,0.69,3,5007,9003112.0,41.83987,11.0,0.06196,0.03278,0.04372,7
15,4,3,171,12.1326,681.35714,0.56,3,4340,36275870.0,136.38488,,0.1227,0.02685,0.06279,8
15,4,3,70,107.04161,690.05,0.75,3,2260,7471402.87,41.91068,2.0,0.06196,0.03278,0.04372,9
15,4,3,702,15.70241,669.98387,0.49,3,10430,2171030.0,4.8408,4.0,0.50187,0.10336,0.2528,10
15,4,3,70,107.04161,686.9625,0.76,3,3385,2841240.0,20.91966,2.0,0.06196,0.03278,0.04372,11
15,4,3,702,15.70241,658.375,0.51,3,4859,392405.0,1.40838,,0.50187,0.10336,0.2528,12
15,4,3,702,15.70241,655.75,0.5,3,2055,23620908.0,126.98216,3.0,0.50187,0.10336,0.2528,13
7,2,3,14,19.93393,660.1087,0.69,3,5005,35295093.0,47.0529,2.0,0.01164,0.00612,0.00819,14
11,3,3,44,11.27744,721.91146,0.78,3,8504,9151706.0,22.73178,5.0,0.03201,0.00855,0.01735,15
7,2,3,14,19.93393,666.88636,0.64,3,7028,1960530.0,6.40458,,0.01164,0.00612,0.00819,16
11,3,3,44,11.27744,715.70833,0.77,3,4065,5168460.0,23.08753,,0.03201,0.00855,0.01735,17
3,1,3,1,0.0125,705.84559,0.85,3,2645,5274556.0,9.26471,2.0,0.0,0.0,0.0,18
11,3,3,44,11.27744,711.375,0.72,3,7115,11597640.0,26.36275,1.0,0.03201,0.00855,0.01735,19
7,2,3,10,43.60625,693.58333,0.63,3,3169,14283149.0,81.91611,2.0,0.01161,0.01063,0.01099,20
11,3,3,61,7.51012,706.13393,0.68,3,1860,7060888.8,30.79714,2.0,0.04369,0.01017,0.02274,21
7,2,3,7,4.58214,699.83929,0.73,3,2466,5519710.0,48.64322,,0.00482,0.00184,0.00296,22
11,3,3,61,7.51012,697.72917,0.69,3,2705,84472253.0,483.90771,6.0,0.04369,0.01017,0.02274,23
7,2,3,8,41.25937,688.71591,0.71,3,7474,20420068.8,45.31222,2.0,0.0099,0.00984,0.00986,24
11,3,3,61,7.51012,703.57812,0.0,3,16,19817371.0,114.91288,,0.04369,0.01017,0.02274,25
3,1,3,2,0.0125,687.95455,0.64,3,7548,27208586.0,61.24251,2.0,0.00071,0.00014,0.00036,26
