exposi_a,exposi_b,exposi_c,exposi_d,resili_a,resili_b,resili_c,resili_d,resili_e,suscep_a,suscep_b,suscep_c,suscep_d,suscep_e,exposi,resili,suscep,vulnera,id
0.022,0.032885128205128,0.006024691358025,0.118447028885772,0.044211416265302,0.388007334961916,0.85609,0.092099648891876,0.56436919446947,0.9045,0.0,0.0,0.022509371319974,0.0777,0.068,0.453,0.201,0.219,1
0.0197,0.001878974358974,0.0,0.002022135603262,0.030521284361378,0.428338819154503,0.74323,0.092099648891876,0.569496578356928,0.857,0.772945391498271,0.0,0.0,0.0299,0.008,0.446,0.332,0.274,2
0.0099,0.012324102564103,0.001555555555556,0.002022135603262,0.056719387073838,0.423702957660233,0.78233,0.092099648891876,0.569495973623624,0.857,0.126853478329252,0.0,0.002600806807051,0.064,0.012,0.455,0.21,0.184,3
0.0304,0.0,0.0,0.002022135603262,0.024962986080609,0.39204607659701,0.74804,0.092099648891876,0.569496578356928,0.857,1.000000000000004,0.0,0.0,0.054,0.01,0.432,0.382,0.321,4
0.0233,0.026201025641026,0.0,0.002022135603262,0.043179788483277,0.400787611113221,0.76789,0.092099648891876,0.569496578356928,0.857,0.912179553398442,0.0,0.003289304930804,0.062,0.025,0.441,0.367,0.315,5
0.0536,0.01348358974359,0.0,0.002022135603262,0.028858506051601,0.403216366875936,0.82031,0.092099648891876,0.569496578356928,0.857,0.460529913142159,0.0,0.000247772722115,0.0606,0.026,0.451,0.276,0.244,6
0.0214,0.007070769230769,0.0,0.118447028885772,0.046160370830607,0.391023455015714,0.84836,0.092099648891876,0.569496578356928,0.857,0.999999999999968,0.0,9.388036291e-06,0.0906,0.049,0.454,0.39,0.339,7
0.0158,0.025195384615385,0.003975308641975,0.002022135603262,0.059356548129813,0.389999519112728,0.79854,0.092099648891876,0.569496578356928,0.857,0.575175675490778,0.0,0.010461370766555,0.0612,0.023,0.445,0.301,0.264,8
0.0087,0.108751794871795,0.107777777777778,0.118447028885772,0.05654439271317,0.365455040634547,0.83916,0.092099648891876,0.569496578356928,0.90067,0.001318326773097,0.0,0.019473477515342,0.1251,0.145,0.443,0.209,0.286,9
0.0055,0.011785128205128,0.0,0.002022135603262,0.014296357978543,0.374232790522618,0.71421,0.092099648891876,0.569496578356928,0.857,0.999999999999993,0.0,0.000573500616805,0.0314,0.01,0.417,0.378,0.329,10
0.007,0.057964615384615,0.0,0.002022135603262,0.067583085851221,0.377737219664261,0.80204,0.092099648891876,0.569496578356928,0.857,0.982474322597578,0.0,0.01490864011907,0.0816,0.04,0.441,0.387,0.34,11
0.0103,0.000286153846154,0.0,0.118447028885772,0.05133727559574,0.362121427267096,0.80201,0.092099648891876,0.569496578356928,0.857,0.218117596367102,0.0,0.000106354867827,0.0889,0.041,0.433,0.233,0.236,12
0.0197,6.8717948718e-05,0.0,0.118447028885772,0.037458927949929,0.369413012911121,0.78978,0.092099648891876,0.569496578356928,0.857,1.000000000000029,0.0,5.226348451e-05,0.0749,0.044,0.433,0.386,0.348,13
0.0084,0.003775897435897,0.0,0.118447028885772,0.020878457008174,0.362574513383698,0.7603,0.092099648891876,0.569496578356928,0.875,0.964118396906589,0.0,0.000965881885109,0.0691,0.043,0.422,0.382,0.352,14
0.0237,0.057658974358974,0.0,0.118447028885772,0.119353132104147,0.328353755154533,0.75355,0.092099648891876,0.569496578356928,0.875,0.753711452496367,0.0,0.009400863321953,0.0798,0.082,0.417,0.344,0.356,15
