POB_S_AGUA,AREA_GEO,CAPACITY_W,DENSITY_WE,TOTAL_DEGR,WEGHITED_T,WEIGHTED_B,WEIGHTED_1,Frecuencia,Volumen,FrecCateg,PrecCateg,VolCateg,ProbaFP,ProbaVP,NormaFrec,NormaVol,IS50,IS90,IS75,Grupos,Grupos2,Precipitac,id
76,441806.477,18146201.0,41.07273647,1,0.004106445,0.0,5.48e-05,3,0.0125,1,4,1,0.30155642,0.321011673,0.002853067,0.0,0.001426534,0.000285307,0.000713267,3,4,939.9553571,1
284,420875.8761,2682939.0,6.374656168,1,0.005826424,0.157407,0.0,3,266.675,1,4,4,0.30155642,0.233463035,0.002853067,0.06349126,0.033172164,0.057427441,0.048331712,3,4,890.7932692,2
4,106416.2991,290043.6016,2.725556179,3,0.012319334,0.00231482,0.00033256,1,0.0125,1,4,1,0.30155642,0.321011673,0.0,0.0,0.0,0.0,0.0,3,4,1061.916667,3
50,503063.1205,3604578.0,7.165259891,4,0.126167693,0.11111158,0.000116009,2,27.00625,1,4,3,0.30155642,0.229571984,0.001426534,0.006427102,0.003926818,0.005927046,0.00517696,3,4,1041.269231,4
56,278828.6291,2045840.0,7.337266644,0,0.0,0.0,0.0,2,0.0125,1,4,1,0.30155642,0.321011673,0.001426534,0.0,0.000713267,0.000142653,0.000356633,3,4,988.8359375,5
138,888462.7214,9572072.0,10.77374635,3,0.009124866,0.0115741,0.001541203,17,5.638970588,2,4,1,0.340466926,0.321011673,0.022824536,0.00133964,0.012082088,0.003488129,0.006710864,4,8,1036.863636,6
78,439390.4016,10141099.0,23.07992838,3,0.01330207,0.114712,0.0,6,6.010416667,2,4,1,0.340466926,0.321011673,0.007132668,0.00142808,0.004280374,0.001998538,0.002854227,4,8,993.3951613,7
93,531164.8233,0.0,0.0,0,0.0,0.0,0.0,7,0.0125,2,4,1,0.340466926,0.321011673,0.008559201,0.0,0.004279601,0.00085592,0.0021398,4,8,1083.507576,8
116,484200.3021,0.0,0.0,0,0.0,0.0,0.0,1,0.0125,1,4,1,0.30155642,0.321011673,0.0,0.0,0.0,0.0,0.0,3,4,1113.636719,9
67,475893.4831,0.0,0.0,0,0.0,0.0,0.0,3,0.0125,1,4,1,0.30155642,0.321011673,0.002853067,0.0,0.001426534,0.000285307,0.000713267,3,4,1105.867187,10
74,406288.5717,0.0,0.0,0,0.0,0.0,0.0,1,0.0125,1,4,1,0.30155642,0.321011673,0.0,0.0,0.0,0.0,0.0,3,4,1131.110577,11
824,919442.6971,127280.0,0.138431683,1,0.000917604,0.0,0.001814039,17,5.638970588,2,4,1,0.340466926,0.321011673,0.022824536,0.00133964,0.012082088,0.003488129,0.006710864,4,8,1083.75,12
4157,681573.677,0.0,0.0,0,0.0,0.0,0.0,17,5.638970588,2,4,1,0.340466926,0.321011673,0.022824536,0.00133964,0.012082088,0.003488129,0.006710864,4,8,1123.339744,13
63,285654.002,1152340.0,4.034041154,3,0.01330207,0.0496399,1.35e-05,10,112.80625,2,4,4,0.340466926,0.233463035,0.012838802,0.026855735,0.019847268,0.025454041,0.023351501,4,8,929.1184211,14
51,271727.7954,0.0,0.0,0,0.0,0.0,0.0,2,0.0125,1,4,1,0.30155642,0.321011673,0.001426534,0.0,0.000713267,0.000142653,0.000356633,3,4,1045.4375,15
85,570304.824,0.0,0.0,4,0.023305698,0.0,0.0,2,0.0125,1,4,1,0.30155642,0.321011673,0.001426534,0.0,0.000713267,0.000142653,0.000356633,3,4,1026.976351,16
42,133010.0013,170184.6992,1.27948799,0,0.0,0.0,0.0,2,0.0125,1,4,1,0.30155642,0.321011673,0.001426534,0.0,0.000713267,0.000142653,0.000356633,3,4,1055.138889,17
61,500905.1031,806961.0,1.611005747,1,0.000917604,0.00728738,0.001648404,7,0.0125,2,4,1,0.340466926,0.321011673,0.008559201,0.0,0.004279601,0.00085592,0.0021398,4,8,1079.700893,18
44,269127.7408,0.0,0.0,0,0.0,0.0,0.0,3,0.0125,1,4,1,0.30155642,0.321011673,0.002853067,0.0,0.001426534,0.000285307,0.000713267,3,4,1096.826389,19
3052,552627.3279,0.0,0.0,0,0.0,0.0,0.0,1,0.0125,1,4,1,0.30155642,0.321011673,0.0,0.0,0.0,0.0,0.0,3,4,1133.882353,20
47,258528.026,0.0,0.0,0,0.0,0.0,0.0,1,0.0125,1,4,1,0.30155642,0.321011673,0.0,0.0,0.0,0.0,0.0,3,4,1145.333333,21
